App ID,App System,lastUpdate,systemAdmin,systemAdmin Employee ID,dRRelationship Manager,dRRelationship Manager Employee ID,mainPlatform,networkExposure,rTO,oS,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginning of previous day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Minutes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Minutes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of previous day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Minutes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point of Failure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point of Failure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Last Transaction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of previous day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Minutes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point of Failure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Last Transaction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginning of day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Minutes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginning of day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Minutes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of previous day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of previous day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Minutes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point of Failure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginning of previous day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Last Transaction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginning of previous day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of previous day
